id	year	authors	title	n_documents	documents
WC0025	1994	S. Bringsjord	private communications during 1994 suggesting that I publish my results about selfjustifying logics in two stages, with its ﬁrst phase presenting a series of mathematical results and second stage prov	1	Willard2013
WC0026	2003	R. Burden and J. Faires	Numerical Methods, Brookes-Cole (2003)	1	Willard2005-TAB
WC0027	1986	Buss, S. R.	Bounded Arithmetic	16	Willard1993; Willard2000-TAB; Willard2001; Willard2002a; Willard2002c; Willard2005; Willard2006a; Willard2007-APAL; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0028	1995	S. R. BUSS and A. IGNJATOVIC	Unprovability of consistency statements in fragments of bounded arithmetic	14	Willard2004; Willard2005; Willard2005-TAB; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0029	1997	S. R. Buss	Informal private conversations during a lunch in Vienna at the 5-th meeting of the Kurt Gödel Colloquium, 1997	2	Willard2016; Willard2018
WC0030	2001	J. L. Casti and W. DePauli	Gödel A Life of Logic, Persues Publishing 2001	1	Willard2007-KGS6
WC0031	1986	Compiler Design Theory, A. Aho, R. Sethi and J. Ullman, Compilers	Principles, Techniques and Tools, Addison Weslcy (1986)	1	Willard1993-TR
WC0032	1961	M. Davis, H. Putnam and J. Robinson	The Decision Problem for Exponential Diophantine Equations	2	Willard2006-WoLLIC; Willard2009
WC0033	1983	M. Davis	Computability and Unsolvability McGraw Hill 1983	2	Willard2006-WoLLIC; Willard2009
WC0034	1931	K. Gödel	Über formal unentscheidbare sätze der principia mathematica und verwandte systeme I	16	Willard1993; Willard1993-TR; Willard2005; Willard2005-TAB; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2007-KGS6; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0035	2004	Gödel, K.	The present situation in the foundations of mathematics. In: Feferman, S., Dawson, J.W., Goldfarb, W., Parson, C., Solovay, R. (eds.) Collected Works Volume III: Unpublished Essays and Lectures, pp. 4	5	Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0036	1989	C. DIMITRACOPOULOS	Overspill and fragments of arithmetic	1	Willard2005
WC0037	1972	H. Enderton	A Mathematical Introduction to Logic	2	Willard1993; Willard2001
WC0038	2001	Enderton, H. B.	A Mathematical Introduction to Logic	3	Willard2013; Willard2020; Willard2020-LFCS
WC0039	1960	S. FEFERMAN	Arithmetization of mathematics in a general setting	12	Willard1993; Willard2001; Willard2005; Willard2006-WoLLIC; Willard2007-APAL; Willard2009; Willard2011; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0040	1962	S. FEFERMAN	G. KRIESEL , and S. OREY, 1-consistency and faithful interpretations	1	Willard2005
WC0041	1962	S. Feferman	Transfinite Recursive Progressions of Axiomatic Theories	1	Willard2001
WC0042	1989	S. Feferman	Finitary Inductively Presented Logics, in Proceedings of Logic Colloquium 88	1	Willard1993
WC0043	1972	Fitting, M.	Tableau methods of proofs for modal logics. Notre Dame J on Formal Logic 13(2): 237-247 (1972)	2	Willard2020; Willard2020-LFCS
WC0044	1990	M. Fitting	First Order Logic and Automated Theorem Proving	7	Willard1993; Willard2000-TAB; Willard2001; Willard2002a; Willard2002c; Willard2005; Willard2020
WC0045	1996	Fitting, M.	First Order Logic and Automated Theorem Proving	9	Willard2004; Willard2005-TAB; Willard2007-APAL; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020-LFCS
WC0046	1979	H. M. FRIEDMAN	On the consistency, completeness and correctness problems	8	Willard2005; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0047	1979	Friedman, H.M.	Locally 1-Closure	1	Willard2020-LFCS
WC0048	1985	H. Friedman	Translatability and Relative Consistency	1	Willard2006a
WC0049	2014	H. M. Friedman	Gödel’s blessing and Gödel’s curse	2	Willard2016; Willard2018
WC0050	2014	Friedman, H. M.	Lecture 4	2	Willard2020; Willard2020-LFCS
WC0051	1982	H. Gaifman and C. Dimitracpoulos	Fragments of Peano Arithmetic and the MDRP Theorem, Logic and Algorithms, Monagraphies de l’Ensignment Mathamtique, 30 (1982) pp. 197-206	1	Willard2009
WC0052	1969	G. Gentzen	Collected Papers, translated by M.E. Szabo	4	Willard1993; Willard1993-TR; Willard2001; Willard2002a
WC0053		G. Gentzen	Die wiederpruchsfreiheit der zeinen zahlentheorie	3	Willard2016; Willard2020; Willard2020-LFCS
WC0054	2014	Gerald Sacks	Reflections on Gödel - YouTube	1	Willard2018
